n,row-seq,col-seq,row-par-3,row-par-6,row-par-12,row-par-24,row-par-48,row-par-96,col-par-3,col-par-6,col-par-12,col-par-24,col-par-48,col-par-96
8500,1.368000,1.996000,0.539000,0.292000,0.232000,0.153000,0.164000,0.187000,0.578000,0.327000,0.232000,0.189000,0.174000,0.202000
9000,1.530000,2.278000,0.658000,0.341000,0.223000,0.175000,0.194000,0.223000,0.683000,0.366000,0.224000,0.194000,0.182000,0.174000
9500,1.711000,2.643000,0.700000,0.360000,0.242000,0.217000,0.194000,0.235000,0.720000,0.420000,0.271000,0.200000,0.186000,0.185000
1000,0.019000,0.020000,0.022000,0.012000,0.009000,0.009000,0.011000,0.011000,0.028000,0.011000,0.016000,0.009000,0.007000,0.011000
10000,1.900000,2.854000,0.692000,0.400000,0.266000,0.234000,0.215000,0.257000,0.791000,0.459000,0.295000,0.226000,0.192000,0.207000
1500,0.042000,0.043000,0.030000,0.020000,0.031000,0.027000,0.017000,0.015000,0.029000,0.020000,0.018000,0.015000,0.014000,0.027000
2000,0.075000,0.079000,0.041000,0.035000,0.058000,0.022000,0.045000,0.019000,0.059000,0.040000,0.021000,0.053000,0.025000,0.026000
2500,0.117000,0.123000,0.055000,0.104000,0.036000,0.039000,0.027000,0.034000,0.059000,0.047000,0.036000,0.031000,0.053000,0.040000
3000,0.169000,0.180000,0.078000,0.046000,0.086000,0.039000,0.043000,0.037000,0.079000,0.050000,0.038000,0.034000,0.037000,0.037000
3500,0.230000,0.250000,0.099000,0.060000,0.051000,0.045000,0.096000,0.055000,0.121000,0.063000,0.054000,0.071000,0.054000,0.043000
4000,0.300000,0.339000,0.126000,0.095000,0.061000,0.049000,0.052000,0.054000,0.130000,0.117000,0.072000,0.055000,0.055000,0.067000
4500,0.379000,0.450000,0.152000,0.089000,0.114000,0.075000,0.094000,0.071000,0.164000,0.094000,0.077000,0.063000,0.093000,0.081000
500,0.005000,0.005000,0.006000,0.004000,0.005000,0.004000,0.006000,0.005000,0.005000,0.006000,0.003000,0.005000,0.003000,0.007000
5000,0.469000,0.573000,0.240000,0.107000,0.106000,0.076000,0.093000,0.075000,0.200000,0.114000,0.083000,0.075000,0.089000,0.093000
5500,0.575000,0.724000,0.235000,0.175000,0.105000,0.103000,0.106000,0.080000,0.240000,0.138000,0.097000,0.083000,0.111000,0.080000
6000,0.682000,0.905000,0.288000,0.168000,0.124000,0.081000,0.121000,0.139000,0.296000,0.168000,0.104000,0.098000,0.091000,0.138000
6500,0.822000,1.057000,0.334000,0.193000,0.137000,0.102000,0.119000,0.152000,0.358000,0.195000,0.154000,0.114000,0.111000,0.126000
7000,0.951000,1.300000,0.372000,0.204000,0.157000,0.123000,0.110000,0.183000,0.407000,0.224000,0.173000,0.118000,0.154000,0.152000
7500,1.090000,1.472000,0.431000,0.247000,0.142000,0.166000,0.113000,0.155000,0.458000,0.254000,0.198000,0.171000,0.139000,0.152000
8000,1.219000,1.749000,0.479000,0.262000,0.184000,0.186000,0.133000,0.162000,0.526000,0.290000,0.176000,0.169000,0.139000,0.165000
8500,1.368000,1.988000,0.538000,0.306000,0.184000,0.143000,0.151000,0.162000,0.584000,0.324000,0.184000,0.157000,0.122000,0.179000
