n,threads,time
25000000,24,0.046000
25000000,48,0.052000
25000000,96,0.043000
30000000,3,0.164000
30000000,6,0.097000
30000000,12,0.095000
30000000,24,0.030000
30000000,48,0.049000
30000000,96,0.054000
35000000,3,0.190000
35000000,6,0.125000
35000000,12,0.084000
35000000,24,0.049000
35000000,48,0.061000
35000000,96,0.081000
40000000,3,0.209000
40000000,6,0.153000
40000000,12,0.064000
40000000,24,0.041000
40000000,48,0.063000
40000000,96,0.068000
45000000,3,0.230000
45000000,6,0.130000
45000000,12,0.072000
45000000,24,0.060000
45000000,48,0.060000
45000000,96,0.077000
50000000,3,0.274000
50000000,6,0.157000
50000000,12,0.103000
50000000,24,0.063000
50000000,48,0.082000
50000000,96,0.084000
55000000,3,0.280000
55000000,6,0.179000
55000000,12,0.129000
55000000,24,0.056000
55000000,48,0.090000
55000000,96,0.086000
60000000,3,0.324000
60000000,6,0.163000
60000000,12,0.105000
60000000,24,0.065000
60000000,48,0.092000
60000000,96,0.080000
65000000,3,0.341000
65000000,6,0.174000
65000000,12,0.095000
65000000,24,0.078000
65000000,48,0.102000
65000000,96,0.084000
70000000,3,0.356000
70000000,6,0.199000
70000000,12,0.117000
70000000,24,0.087000
70000000,48,0.101000
70000000,96,0.093000
75000000,3,0.382000
75000000,6,0.209000
75000000,12,0.142000
75000000,24,0.078000
75000000,48,0.087000
75000000,96,0.092000
80000000,3,0.416000
80000000,6,0.227000
80000000,12,0.120000
80000000,24,0.071000
80000000,48,0.084000
80000000,96,0.090000
85000000,3,0.430000
85000000,6,0.230000
85000000,12,0.154000
85000000,24,0.105000
85000000,48,0.106000
85000000,96,0.105000
90000000,3,0.447000
90000000,6,0.263000
90000000,12,0.147000
90000000,24,0.081000
90000000,48,0.109000
90000000,96,0.106000
95000000,3,0.477000
95000000,6,0.298000
95000000,12,0.175000
95000000,24,0.120000
95000000,48,0.105000
95000000,96,0.092000
100000000,3,0.509000
100000000,6,0.272000
100000000,12,0.154000
100000000,24,0.084000
100000000,48,0.105000
100000000,96,0.100000
5000000,3,0.037000
5000000,6,0.028000
5000000,12,0.022000
5000000,24,0.015000
5000000,48,0.019000
5000000,96,0.018000
10000000,3,0.062000
10000000,6,0.049000
10000000,12,0.041000
10000000,24,0.020000
10000000,48,0.022000
10000000,96,0.039000
15000000,3,0.107000
15000000,6,0.065000
15000000,12,0.033000
15000000,24,0.022000
15000000,48,0.032000
15000000,96,0.056000
20000000,3,0.117000
20000000,6,0.066000
20000000,12,0.061000
20000000,24,0.038000
20000000,48,0.038000
20000000,96,0.048000
25000000,3,0.143000
25000000,6,0.089000
25000000,12,0.044000
25000000,24,0.049000
25000000,48,0.040000
25000000,96,0.048000
30000000,3,0.166000
30000000,6,0.092000
30000000,12,0.087000
30000000,24,0.053000
30000000,48,0.051000
30000000,96,0.066000
35000000,3,0.182000
35000000,6,0.121000
35000000,12,0.063000
35000000,24,0.089000
35000000,48,0.050000
35000000,96,0.078000
40000000,3,0.200000
40000000,6,0.123000
40000000,12,0.102000
40000000,24,0.052000
40000000,48,0.058000
40000000,96,0.061000
45000000,3,0.235000
45000000,6,0.146000
45000000,12,0.077000
45000000,24,0.050000
45000000,48,0.057000
45000000,96,0.075000
50000000,3,0.262000
50000000,6,0.134000
50000000,12,0.081000
50000000,24,0.062000
50000000,48,0.070000
50000000,96,0.068000
55000000,3,0.281000
55000000,6,0.164000
55000000,12,0.099000
55000000,24,0.081000
55000000,48,0.065000
55000000,96,0.100000
60000000,3,0.307000
60000000,6,0.175000
60000000,12,0.144000
60000000,24,0.086000
60000000,48,0.074000
60000000,96,0.079000
65000000,3,0.338000
65000000,6,0.176000
65000000,12,0.108000
65000000,24,0.084000
65000000,48,0.081000
65000000,96,0.088000
70000000,3,0.358000
70000000,6,0.197000
70000000,12,0.119000
70000000,24,0.078000
70000000,48,0.083000
70000000,96,0.075000
75000000,3,0.384000
75000000,6,0.214000
75000000,12,0.113000
75000000,24,0.095000
75000000,48,0.064000
75000000,96,0.085000
80000000,3,0.404000
80000000,6,0.238000
80000000,12,0.121000
80000000,24,0.088000
80000000,48,0.083000
80000000,96,0.097000
85000000,3,0.439000
85000000,6,0.245000
85000000,12,0.140000
85000000,24,0.089000
85000000,48,0.084000
85000000,96,0.106000
90000000,3,0.455000
90000000,6,0.238000
90000000,12,0.134000
90000000,24,0.103000
90000000,48,0.120000
90000000,96,0.098000
95000000,3,0.476000
95000000,6,0.258000
95000000,12,0.141000
95000000,24,0.101000
95000000,48,0.101000
95000000,96,0.106000
100000000,3,0.498000
100000000,6,0.266000
100000000,12,0.147000
100000000,24,0.087000
100000000,48,0.114000
100000000,96,0.117000
5000000,3,0.053000
5000000,6,0.037000
5000000,12,0.015000
5000000,24,0.010000
5000000,48,0.019000
5000000,96,0.019000
10000000,3,0.063000
10000000,6,0.038000
10000000,12,0.024000
10000000,24,0.028000
10000000,48,0.020000
10000000,96,0.036000
15000000,3,0.094000
15000000,6,0.050000
15000000,12,0.052000
15000000,24,0.031000
15000000,48,0.031000
15000000,96,0.045000
20000000,3,0.110000
20000000,6,0.062000
20000000,12,0.054000
20000000,24,0.033000
20000000,48,0.031000
20000000,96,0.045000
25000000,3,0.139000
25000000,6,0.089000
25000000,12,0.061000
25000000,24,0.040000
25000000,48,0.042000
25000000,96,0.048000
30000000,3,0.159000
30000000,6,0.105000
30000000,12,0.050000
30000000,24,0.049000
30000000,48,0.043000
30000000,96,0.055000
35000000,3,0.186000
35000000,6,0.136000
35000000,12,0.060000
35000000,24,0.038000
35000000,48,0.069000
