n,threads,time
50000000,96,0.074000
55000000,3,0.240000
55000000,6,0.144000
55000000,12,0.072000
55000000,24,0.062000
55000000,48,0.071000
55000000,96,0.066000
60000000,3,0.263000
60000000,6,0.135000
60000000,12,0.080000
60000000,24,0.066000
60000000,48,0.082000
60000000,96,0.068000
65000000,3,0.275000
65000000,6,0.151000
65000000,12,0.091000
65000000,24,0.055000
65000000,48,0.067000
65000000,96,0.075000
70000000,3,0.298000
70000000,6,0.156000
70000000,12,0.092000
70000000,24,0.067000
70000000,48,0.067000
70000000,96,0.096000
75000000,3,0.330000
75000000,6,0.167000
75000000,12,0.097000
75000000,24,0.086000
75000000,48,0.084000
75000000,96,0.090000
80000000,3,0.337000
80000000,6,0.176000
80000000,12,0.103000
80000000,24,0.072000
80000000,48,0.100000
80000000,96,0.105000
85000000,3,0.377000
85000000,6,0.185000
85000000,12,0.127000
85000000,24,0.099000
85000000,48,0.092000
85000000,96,0.101000
90000000,3,0.377000
90000000,6,0.213000
90000000,12,0.144000
90000000,24,0.093000
90000000,48,0.103000
90000000,96,0.092000
95000000,3,0.394000
95000000,6,0.230000
95000000,12,0.133000
95000000,24,0.073000
95000000,48,0.102000
95000000,96,0.097000
100000000,3,0.419000
100000000,6,0.220000
100000000,12,0.126000
100000000,24,0.082000
100000000,48,0.100000
100000000,96,0.089000
5000000,3,0.038000
5000000,6,0.030000
5000000,12,0.018000
5000000,24,0.014000
5000000,48,0.015000
5000000,96,0.019000
10000000,3,0.059000
10000000,6,0.043000
10000000,12,0.029000
10000000,24,0.034000
10000000,48,0.022000
10000000,96,0.031000
15000000,3,0.076000
15000000,6,0.055000
15000000,12,0.028000
15000000,24,0.033000
15000000,48,0.026000
15000000,96,0.030000
20000000,3,0.095000
20000000,6,0.060000
20000000,12,0.055000
20000000,24,0.044000
20000000,48,0.038000
20000000,96,0.043000
25000000,3,0.119000
25000000,6,0.075000
25000000,12,0.040000
25000000,24,0.041000
25000000,48,0.040000
25000000,96,0.045000
30000000,3,0.133000
30000000,6,0.096000
30000000,12,0.045000
30000000,24,0.044000
30000000,48,0.039000
30000000,96,0.050000
35000000,3,0.170000
35000000,6,0.092000
35000000,12,0.063000
35000000,24,0.049000
35000000,48,0.067000
35000000,96,0.087000
40000000,3,0.182000
40000000,6,0.111000
40000000,12,0.090000
40000000,24,0.062000
40000000,48,0.046000
40000000,96,0.066000
45000000,3,0.199000
45000000,6,0.106000
45000000,12,0.064000
45000000,24,0.067000
45000000,48,0.074000
45000000,96,0.076000
50000000,3,0.219000
50000000,6,0.127000
50000000,12,0.071000
50000000,24,0.065000
50000000,48,0.064000
50000000,96,0.070000
55000000,3,0.237000
55000000,6,0.124000
55000000,12,0.104000
55000000,24,0.075000
55000000,48,0.082000
55000000,96,0.084000
60000000,3,0.262000
60000000,6,0.136000
60000000,12,0.092000
60000000,24,0.087000
60000000,48,0.084000
60000000,96,0.100000
65000000,3,0.283000
65000000,6,0.172000
65000000,12,0.095000
65000000,24,0.075000
65000000,48,0.067000
65000000,96,0.081000
70000000,3,0.295000
70000000,6,0.176000
70000000,12,0.090000
70000000,24,0.070000
70000000,48,0.084000
70000000,96,0.083000
75000000,3,0.314000
75000000,6,0.167000
75000000,12,0.185000
75000000,24,0.078000
75000000,48,0.075000
75000000,96,0.104000
80000000,3,0.343000
80000000,6,0.191000
80000000,12,0.130000
80000000,24,0.058000
80000000,48,0.085000
80000000,96,0.090000
85000000,3,0.360000
85000000,6,0.183000
85000000,12,0.107000
85000000,24,0.101000
85000000,48,0.078000
85000000,96,0.102000
90000000,3,0.374000
90000000,6,0.206000
90000000,12,0.114000
90000000,24,0.064000
90000000,48,0.085000
90000000,96,0.111000
95000000,3,0.391000
95000000,6,0.207000
95000000,12,0.119000
95000000,24,0.104000
95000000,48,0.095000
95000000,96,0.104000
100000000,3,0.415000
100000000,6,0.228000
100000000,12,0.127000
100000000,24,0.093000
100000000,48,0.106000
100000000,96,0.105000
5000000,3,0.034000
5000000,6,0.027000
5000000,12,0.022000
5000000,24,0.016000
5000000,48,0.023000
5000000,96,0.019000
10000000,3,0.060000
10000000,6,0.053000
10000000,12,0.035000
10000000,24,0.020000
10000000,48,0.021000
10000000,96,0.028000
15000000,3,0.072000
15000000,6,0.043000
15000000,12,0.035000
15000000,24,0.022000
15000000,48,0.025000
15000000,96,0.034000
20000000,3,0.097000
20000000,6,0.077000
20000000,12,0.034000
20000000,24,0.047000
20000000,48,0.035000
20000000,96,0.036000
25000000,3,0.115000
25000000,6,0.078000
25000000,12,0.065000
25000000,24,0.051000
25000000,48,0.044000
25000000,96,0.049000
30000000,3,0.138000
30000000,6,0.093000
30000000,12,0.052000
30000000,24,0.032000
30000000,48,0.042000
30000000,96,0.053000
35000000,3,0.161000
35000000,6,0.097000
35000000,12,0.049000
35000000,24,0.048000
35000000,48,0.046000
35000000,96,0.058000
40000000,3,0.175000
40000000,6,0.092000
40000000,12,0.058000
40000000,24,0.052000
40000000,48,0.041000
40000000,96,0.076000
45000000,3,0.195000
45000000,6,0.118000
45000000,12,0.092000
45000000,24,0.062000
45000000,48,0.081000
45000000,96,0.067000
50000000,3,0.217000
50000000,6,0.115000
