n,row-seq,col-seq,row-par-3,row-par-6,row-par-12,row-par-24,row-par-48,row-par-96,col-par-3,col-par-6,col-par-12,col-par-24,col-par-48,col-par-96
5000,0.467885,0.570858,0.533050,0.584194,0.717919,0.754933,0.889498,0.820091,0.571307,0.589633,0.714938,0.759997,0.898581,0.693975
5500,0.609102,0.711799,0.627633,0.736157,0.815456,0.899052,1.009099,0.815132,0.733478,0.777140,0.828102,0.858441,1.134661,0.857349
6000,0.681387,0.924123,0.803673,0.918676,1.080400,2.705633,1.381886,2.052094,0.903068,0.902095,1.028533,1.428873,1.461952,1.618015
6500,0.802116,1.056832,0.931036,1.038187,1.389429,1.171092,1.823304,1.690528,1.019222,1.059917,1.283382,1.564104,1.655043,1.848873
7000,0.934406,1.269770,1.069288,1.177108,1.569123,1.857454,2.341612,2.026245,1.134360,1.209796,1.394718,1.561829,1.866457,2.278299
7500,1.067821,1.514713,1.208478,1.241470,1.290981,2.245357,2.719651,2.496242,1.331377,1.369531,1.396297,1.634680,2.448799,2.059361
8000,1.239894,1.709886,1.389938,1.528974,1.648479,4.063446,2.469978,3.152789,1.459685,1.544209,1.632170,1.926297,2.413970,2.742249
8500,1.406810,2.006834,1.532329,1.584016,1.807081,3.877202,2.859483,8.149992,1.640650,1.729629,1.813453,2.289747,2.578612,3.214001
9000,1.531139,2.333453,1.736844,1.775954,2.122869,2.970125,2.755960,5.396275,1.840141,1.955133,2.212242,2.803795,2.735427,2.997409
9500,1.707363,2.547333,1.930800,2.034134,2.458574,3.311129,2.755507,4.836468,2.008916,2.140721,2.445960,3.042293,3.147154,3.388534
1000,0.018750,0.019849,0.036241,0.030988,0.035318,0.038021,0.020952,0.009841,0.039321,0.025468,0.015829,0.011564,0.015740,0.024685
10000,1.899918,2.866723,2.081795,2.207378,2.709865,2.859221,4.515818,6.668882,2.279448,2.398190,2.663544,3.039210,3.603384,3.591430
1500,0.042171,0.042496,0.074397,0.096905,0.098018,0.091644,0.085067,0.040418,0.072392,0.096061,0.091103,0.087136,0.028823,0.044692
2000,0.074936,0.078043,0.109130,0.118252,0.115885,0.107848,0.056235,0.056889,0.111781,0.108512,0.133373,0.181156,0.056995,0.047308
2500,0.116991,0.122952,0.157139,0.193446,0.239522,0.353831,0.346882,0.334983,0.153290,0.173516,0.231701,0.222447,0.251818,0.063139
3000,0.168249,0.179652,0.207852,0.243140,0.257367,0.403992,0.388419,0.311822,0.266704,0.243276,0.261063,0.399074,0.443349,0.285302
3500,0.229524,0.249789,0.278992,0.312019,0.325548,0.489915,0.492312,0.424951,0.290665,0.347193,0.390671,0.460699,0.321983,0.260065
4000,0.299577,0.343676,0.346229,0.402433,0.476921,0.521126,0.654984,0.598407,0.369842,0.406832,0.492950,0.491751,0.482929,0.656988
4500,0.380100,0.443016,0.434380,0.497389,0.569501,0.567398,0.594782,0.747339,0.449153,0.487444,0.585789,0.641262,0.759748,0.517409
